judul;tanggal;penulis;isi_;url
H-46 Coblosan Pilpres 2024, Berikut Update Logistik, APD, dan Surat Suara Pemilu;Selasa, 2 Januari 2024;Mutiara Roudhatul Jannah;TEMPO.CO, Jakarta - Pemilu 2024 akan diselenggarakan 46 hari lagi yakni coblosan Pilpres 2024 berikut Pileg. Dalam persiapannya, Komisi Pemilihan Umum (KPU) bersama Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah  menerapkan pengadaan melalui Katalog Elektronik Nasional untuk beberapa logistik Pemilu dengan melibatkan personil dalam Kelompok Kerja (Pokja), baik dari LKPP maupun KPU.;https://pemilu.tempo.co/read/1816385/h-46-coblosan-pilpres-2024-berikut-update-logistik-apd-dan-surat-suara-pemilu
Partai Buruh Demo di Kantor Bawaslu, Sebut Ada Diskriminasi Caleg Pekerja;Selasa, 2 Januari 2024;Sultan Abdurrahman;TEMPO.CO, Jakarta - Partai Buruh menggelar aksi unjuk rasa di depan Gedung Badan Pengawas Pemilu (Bawaslu), Jakarta Pusat pada Selasa, 2 Januari 2024. Mereka menyatakan terdapat calon legislatif dari partainya yang dihalang-halangi untuk maju pada Pemilu 2024.;https://pemilu.tempo.co/read/1816381/partai-buruh-demo-di-kantor-bawaslu-sebut-ada-diskriminasi-caleg-pekerja
2 Pucuk Pimpinan TPN Sebut Ganjar-Mahfud Terkendala Logistik untuk Berkampanye;Selasa, 2 Januari 2024;Adil Al Hasan;TEMPO.CO, Jakarta - Dua pucuk pimpinan Tim Pemenangan Nasional Ganjar Pranowo - Mahfud Md atau TPN Ganjar-Mahfud menyatakan mereka mengalami kendala logistik untuk berkampanye selama pemilihan presiden atau Pilpres 2024. Selama kampanye di berbagai daerah, alat peraga kampanye pasangan tersebut terbilang minm;https://pemilu.tempo.co/read/1816251/2-pucuk-pimpinan-tpn-sebut-ganjar-mahfud-terkendala-logistik-untuk-berkampanye
TKN Minta Pemanggilan Gibran Rakabuming Oleh Bawaslu Jakarta Tidak Jadi Bola Liar;Selasa, 2 Januari 2024;Han Revanda Putra;TEMPO.CO, Jakarta - Wakil Ketua Tim Kampanye Nasional Prabowo Subianto - Gibran Rakabuming Raka atau TKN Prabowo-Gibran, Afriansyah Noor, berharap pemanggilan Badan Pengawas Pemilu atau Bawaslu Jakarta kepada Gibran tak menjadi bola liar. Pasalnya, dia mengklaim pihaknya belum menerima surat pemanggilan itu.;https://pemilu.tempo.co/read/1816230/tkn-minta-pemanggilan-gibran-rakabuming-oleh-bawaslu-jakarta-tidak-jadi-bola-liar
Anies Live TikTok, Ganjar: Biar Saja Pakai Strategi Sendiri-sendiri;Selasa, 2 Januari 2024;Tempo.co;TEMPO.CO, Purworejo - Calon presiden nomor urut 3 Ganjar Pranowo menanggapi strategi kampanye calon presiden nomor urut 1, Anies Baswedan, yang merambah aplikasi media sosial TikTok.;https://pemilu.tempo.co/read/1816055/anies-live-tiktok-ganjar-biar-saja-pakai-strategi-sendiri-sendiri
Anisha Dasuki Kembali Jadi Moderator Debat Capres, Kali Ini Berpasangan dengan Ariyo Ardi;Rabu, 3 Januari 2024;Ihsan Reliubun;TEMPO.CO, Jakarta - Komisioner Komisi Pemilihan Umum (KPU) August Mellaz, menyatakan telah menetapkan dua moderator yang akan memandu debat capres kedua di Istora Gelora Bung Karno pada Ahad, 7 Januari 2024. Dua moderator tersebut, yakni Anisha Dasuki dan Ariyo Ardi.;https://pemilu.tempo.co/read/1816875/anisha-dasuki-kembali-jadi-moderator-debat-capres-kali-ini-berpasangan-dengan-ariyo-ardi
Ini 11 Panelis Pada Debat Pilpres 2024 Akhir Pekan Ini;Rabu, 3 Januari 2024;Ihsan Reliubun;TEMPO.CO, Jakarta - Komisi Pemilihan Umum (KPU) telah menetapkan sebelas panelis sebagai penyusun pertanyaan Debat Pilpres 2024 ketiga yang akan diselenggarakan di Gedung Istora Gelora Bung Karno, Senayan, Jakarta Pusat, Ahad, 7 Januari 2024.;https://pemilu.tempo.co/read/1816850/ini-11-panelis-pada-debat-pilpres-2024-akhir-pekan-ini
KPU Ingatkan Masyarakat Untuk Urus Pindah Memilih 30 Hari Sebelum Pencoblosan;Rabu, 3 Januari 2024;Ihsan Reliubun;TEMPO.CO, Jakarta - Komisioner Komisi Pemilihan Umum atau KPU, Betty Epsilon Idroos mengingatkan kepada masyarakat untuk segera mengurus perpindahan Tempat Pemilihan Suara (TPS) atau pindah memilih bagi yang membutuhkan.  Betty menyatakan pengurusan pindah memilih itu harus diurus paling lambat 30 hari sebelum pencoblosan pada 14 Februari 2024.;https://pemilu.tempo.co/read/1816844/kpu-ingatkan-masyarakat-untuk-urus-pindah-memilih-30-hari-sebelum-pencoblosan
Beda dengan Kubu Prabowo-Gibran, AMIN Tak Keberatan Debat Capres Ketiga Disiarkan MNC Group;Rabu, 3 Januari 2024;Tempo.co;TEMPO.CO, Jakarta - Tim Nasional  Pemenangan Anies Baswedan-Muhaimin Iskandar (AMIN) mengaku tidak keberatan MNC Group memegang hak siar debat capres ketiga selama stasiun televisi swasta nasional itu bersikap independen.;https://pemilu.tempo.co/read/1816802/beda-dengan-kubu-prabowo-gibran-amin-tak-keberatan-debat-capres-ketiga-disiarkan-mnc-group
Uang Kehormatan DKPP Naik Jelang Pemilu 2024;Rabu, 3 Januari 2024;Daniel A. Fajri;TEMPO.CO, Jakarta - Presiden Joko Widodo atau Jokowi telah menaikkan uang kehormatan untuk ketua dan anggota Dewan Kehormatan Penyelenggara Pemilu atau DKPP. Kebijakan itu tercatat dalam Peraturan Presiden Nomor 3 Tahun 2024.;https://pemilu.tempo.co/read/1816782/uang-kehormatan-dkpp-naik-jelang-pemilu-2024
Debat Capres 2024 Fase 2 Diadakan 4 Hari Lagi: Jadwal, Lokasi, Tema dan Formatnya;Rabu, 3 Januari 2024;Mutiara Roudhatul Jannah;TEMPO.CO, Jakarta - Seri Debat Capres dan Cawapres telah sampai pada tahap ketiga dari kelima rangkaian yang diselenggarakan Komisi Pemilihan Umum (KPU) menuju Pilpres 2024.;https://pemilu.tempo.co/read/1816760/debat-capres-2024-fase-2-diadakan-4-hari-lagi-jadwal-lokasi-tema-dan-formatnya
Mahfud Md Minta Aliran Dana Kampanye Ilegal Diusut Tuntas;Rabu, 3 Januari 2024;Antara;TEMPO.CO, Jakarta - Menteri Koordinator Bidang Politik, Hukum, dan Keamanan (Menkopolhukam) sekaligus calon wakil presiden, Mahfud Md, meminta agar laporan Pusat Pelaporan dan Analisa Transaksi Keuangan (PPATK) soal adanya aliran dana kampanye ilegal diusut tuntas. Dia menilai kasus ini menjadi sorotan karena ada dugaan keterlibatan para petinggi partai politik.;https://pemilu.tempo.co/read/1816749/mahfud-md-minta-aliran-dana-kampanye-ilegal-diusut-tuntas
Satpol PP Garut Dukung Gibran Rakabuming, Pj Gubernur Jawa Barat: Tidak Digaji 1-3 Bulan;Rabu, 3 Januari 2024;Antara;TEMPO.CO, Jakarta - Penjabat (Pj) Gubernur Jawa Barat, Bey Machmudin,  angkat bicara soal video viral anggota Satuan Polisi Pamong Praja (Satpol PP) Kabupaten Garut yang memberikan dukungan kepada calon wakil presiden Gibran Rakabuming Raka. Bey menyatakan bahwa pihaknya sudah memerintahkan untuk memberikan sanksi kepada para anggota Satpol PP dalam video itu.;https://pemilu.tempo.co/read/1816737/satpol-pp-garut-dukung-gibran-rakabuming-pj-gubernur-jawa-barat-tidak-digaji-1-3-bulan
Satpol PP Garut Dukung Gibran Rakabuming Raka, Ini Kata TKN;Rabu, 3 Januari 2024;Antara;TEMPO.CO, Jakarta - Komandan Tim Kampanye Nasional Pemilih Muda (TKN Fanta) Prabowo Subianto - Gibran Rakabuming Raka, Arief Rosyid Hasan, tak mau berkomentar banyak soal video viral sejumlah anggota Satuan Polisi Pamong Praja (Satpol PP) Kabupaten Garut memberikan dukungan kepada Gibran. Arief meminta semua pihak untuk mencek terlebih dahulu video tersebut.;https://pemilu.tempo.co/read/1816726/satpol-pp-garut-dukung-gibran-rakabuming-raka-ini-kata-tkn
Soal Polemik Izin Baliho Prabowo-Gibran, Pemkot Batam Bungkam;Rabu, 3 Januari 2024;Yogi Eka Sahputra;TEMPO.CO, Batam - Pemerintah Kota Batam tidak mau berkomentar soal penerbitan  izin pemakaian Monumen Welcome to Batam untuk pemasangan baliho pasangan Prabowo-Gibran yang berpolemik. Akibat izin ini,  Tim Kampanye Daerah Prabowo Subianto - Gibran Rakabuming Raka (TKD Prabowo-Gibran) melaporkan Bawaslu Kepulauan Daerah Riau dan Bawaslu Kota Batam ke kepolisian.;https://pemilu.tempo.co/read/1816717/soal-polemik-izin-baliho-prabowo-gibran-pemkot-batam-bungkam
